Type,Test,countmaxDOWN,countmaxIN_SEARCH,countmaxUP,countminDOWN,countminIN_SEARCH,countminUP,countmeanDOWN,countmeanIN_SEARCH,countmeanUP,countvarDOWN,countvarIN_SEARCH,countvarUP,indexmin,indexmax,indexmean,minminmin,minminmax,minminmean,minmaxmin,minmaxmax,minmaxmean,minmeanmin,minmeanmax,minmeanmean,maxminmin,maxminmax,maxminmean,maxmaxmin,maxmaxmax,maxmaxmean,maxmeanmin,maxmeanmax,maxmeanmean,meanminmin,meanminmax,meanminmean,meanmaxmin,meanmaxmax,meanmaxmean,meanmeanmin,meanmeanmax,meanmeanmean,"('lostPackets', 'sum')","('lostPackets', 'mean')","('timesForwarded', 'sum')","('timesForwarded', 'max')","('timesForwarded', 'mean')","('timesForwarded', 'var')",entopy_input,min_input,max_input,mean_input,var_input,entopy_output,min_output,max_output,mean_output,var_output,min_diff,max_diff,mean_diff,var_diff,entopy_normolized,min_normolized,max_normolized,mean_normolized,var_normolized,src_count,dst_count
ddos_attack,927,310.0,1.0,529.0,5.0,1.0,430.0,138.21052631578948,1.0,472.76190476190476,8977.286549707604,,759.6904761904772,30360,30392,30376,1,1,1.0,2,7,4.636363636363637,1.0666666666666667,2.238095238095238,1.6230821502461816,1,1,1.0,3,8,5.151515151515151,1.3214285714285714,2.8260869565217392,1.9229894679565298,1.0,1.0,1.0,2.8461538461538463,7.0,4.662004662004662,1.1819727891156462,2.413333333333333,1.7008461323624084,468,1.4096385542168675,58,35,0.1746987951807229,4.186910785134493,1.3665122515887864,1.0,126.0,53.6875,1063.8346774193549,1.3304420491613853,6.0,182.0,53.6875,1713.641129032258,-99.0,77.0,0.0,1621.6774193548388,1.3981047081485365,1.0,177.0,100.0,1621.6774193548388,1601,1454
ddos_attack,928,271.0,1.0,576.0,9.0,1.0,427.0,141.05263157894737,1.0,498.3809523809524,8443.941520467837,,1469.5476190476172,30393,30425,30409,1,1,1.0,1,6,3.878787878787879,1.0,1.7142857142857142,1.3676782540141612,1,1,1.0,3,7,4.363636363636363,1.206896551724138,1.8695652173913044,1.580813397078549,1.0,1.0,1.0,1.6666666666666667,6.0,4.066322566322566,1.1004926108374387,1.7789115646258504,1.4541764815785108,447,1.5308219178082192,131,50,0.4486301369863014,18.0420256084357,1.3792912918133762,7.0,107.0,46.39393939393939,671.4337121212121,1.3269954402668787,2.0,155.0,46.39393939393939,1281.3087121212122,-115.0,64.0,0.0,1459.875,1.4125534206027235,1.0,180.0,116.0,1459.875,1332,1268
ddos_attack,929,263.0,1.0,540.0,3.0,1.0,400.0,88.21052631578948,1.0,491.4761904761905,4574.619883040936,,1279.0619047619043,30426,30458,30442,0,1,0.8787878787878788,1,7,4.303030303030303,0.9615384615384616,2.5,1.4161422024596972,0,1,0.9696969696969697,3,7,4.818181818181818,1.2222222222222223,2.6,1.5554001920631226,0.0,1.0,0.9668109668109668,3.0,7.0,4.434343434343433,1.0974551764025446,2.5100000000000002,1.4410591328181583,449,2.5804597701149423,59,35,0.3390804597701149,8.780313600425227,0.9075404149742141,3.0,827.0,124.53846153846153,66517.53846153845,0.8960991317147475,2.0,848.0,124.03846153846153,67807.23846153847,-82.0,75.0,0.5,1122.18,1.400883859011765,1.0,158.0,83.5,1122.18,3084,2919
ddos_attack,93,273.0,1.0,617.0,2.0,1.0,431.0,147.57894736842104,1.0,516.5238095238095,10706.368421052632,,2829.4619047619058,30459,30491,30475,0,1,0.9696969696969697,2,7,3.6363636363636362,1.0909090909090908,2.1052631578947367,1.3832774601894127,1,1,1.0,3,143,16.727272727272727,1.1379310344827587,8.181818181818182,2.1277313895247576,1.0,1.0,1.0,2.5555555555555554,130.14285714285714,10.296377696377697,1.1330049261083746,6.792000000000001,1.7596905204839397,351,1.1037735849056605,11,8,0.03459119496855346,0.21015614149951384,1.2605077332727948,2.0,353.0,67.48484848484848,6170.195075757575,1.2030064744549847,1.0,398.0,67.48484848484848,7893.820075757574,-145.0,66.0,0.0,1918.0,1.4167819424179133,1.0,212.0,146.0,1918.0,2142,2081
ddos_attack,930,218.0,,554.0,5.0,,416.0,118.89473684210526,,497.76190476190476,5929.432748538012,,1343.3904761904757,30492,30524,30508,1,1,1.0,1,7,3.757575757575758,1.0,2.1538461538461537,1.3239307116064676,1,1,1.0,2,7,4.181818181818182,1.1304347826086956,2.230769230769231,1.4497476226623534,1.0,1.0,1.0,2.0,7.0,3.8917027417027414,1.1025714285714288,2.2205128205128206,1.3680853477531874,279,1.354368932038835,32,32,0.1553398058252427,4.970873786407766,1.3153150930567132,2.0,106.0,27.59375,552.6360887096774,1.213594426940785,1.0,117.0,27.59375,986.6360887096774,-94.0,90.0,0.0,1260.8387096774193,1.4055739666301543,1.0,185.0,95.0,1260.8387096774193,851,802
ddos_attack,931,277.0,1.0,560.0,2.0,1.0,379.0,144.3684210526316,1.0,453.5238095238095,10092.356725146201,0.0,2206.6619047619047,30525,30557,30541,0,1,0.9393939393939394,3,6,4.515151515151516,1.12,2.176470588235294,1.5456378201813534,1,1,1.0,3,82,12.0,1.24,7.518518518518518,2.1118488162245312,0.14285714285714285,1.0,0.9740259740259739,3.0,76.0,9.959396159396162,1.1813333333333333,6.239083820662768,1.877245833459678,318,1.2045454545454546,97,74,0.36742424242424243,21.450037446710464,1.096799087550973,2.0,739.0,88.03125,27268.740927419356,1.0749472315614639,1.0,694.0,88.03125,27025.12802419355,-104.0,59.0,0.0,1335.032258064516,1.4087050097180502,1.0,164.0,105.0,1335.032258064516,2583,2470
ddos_attack,932,334.0,,601.0,5.0,,388.0,169.78947368421052,,474.6190476190476,13765.397660818713,,3561.1476190476196,30558,30590,30574,1,1,1.0,1,19,4.96969696969697,1.0,2.2941176470588234,1.601386461899521,1,1,1.0,4,19,5.7272727272727275,1.32,2.652173913043478,1.914331248834465,1.0,1.0,1.0,2.4761904761904763,19.0,5.211773579955398,1.1150476190476188,2.390513833992095,1.7157950095740373,401,1.2893890675241158,33,18,0.10610932475884244,1.2177367492998643,1.3684292024981533,2.0,123.0,61.9,1253.6793103448276,1.2902795055529999,1.0,337.0,61.9,3933.748275862069,-249.0,92.0,0.0,4191.241379310345,1.4219304125403027,1.0,342.0,250.0,4191.241379310345,1725,1478
ddos_attack,933,219.0,,495.0,6.0,,397.0,130.42105263157896,,437.0952380952381,5679.035087719297,,965.7904761904765,30591,30623,30607,1,1,1.0,2,6,3.727272727272727,1.04,2.2941176470588234,1.4126433466168813,1,1,1.0,2,6,3.878787878787879,1.0588235294117647,2.2941176470588234,1.5125803656059778,1.0,1.0,1.0,2.0,6.0,3.748085248085248,1.0551378446115287,2.2941176470588234,1.4429914093508602,424,1.8596491228070176,79,57,0.34649122807017546,14.976331246618749,1.3422561926137744,3.0,95.0,29.303030303030305,447.842803030303,1.2054180784577528,1.0,142.0,29.303030303030305,1369.655303030303,-109.0,88.0,0.0,1284.75,1.4137123299281007,1.0,198.0,110.0,1284.75,841,722
ddos_attack,934,184.0,,474.0,5.0,,356.0,106.42105263157895,,426.95238095238096,4074.701754385965,,980.2476190476193,30624,30656,30640,1,1,1.0,1,6,3.4242424242424243,1.0,2.0,1.262593648569003,1,1,1.0,2,6,3.6666666666666665,1.0625,2.0,1.3569372597400962,1.0,1.0,1.0,1.15,6.0,3.4933177933177935,1.009375,2.0,1.2917519798334431,431,2.5502958579881656,12,12,0.07100591715976332,0.8520710059171597,1.2347800558158941,2.0,145.0,27.903225806451612,1137.0236559139782,1.1364257550529764,1.0,199.0,28.833333333333332,1759.5919540229886,-168.0,100.0,-0.06666666666666667,2098.891954022988,1.407544922926844,1.0,269.0,168.93333333333334,2098.891954022988,775,598
ddos_attack,935,341.0,1.0,593.0,3.0,1.0,360.0,165.52631578947367,1.0,467.7142857142857,16315.152046783624,0.0,4779.014285714284,30657,30689,30673,1,1,1.0,2,8,5.2727272727272725,1.037037037037037,2.3333333333333335,1.647288948396923,1,1,1.0,3,11,7.0606060606060606,1.3703703703703705,3.380952380952381,2.1097672993092464,1.0,1.0,1.0,2.6666666666666665,9.714285714285714,5.832611832611833,1.1711368878035544,2.5952380952380953,1.8371590333131935,561,1.8333333333333333,41,36,0.13398692810457516,4.26067716704168,1.3892539781551156,17.0,159.0,49.75757575757576,775.439393939394,1.3461087240694527,7.0,196.0,49.75757575757576,1490.814393939394,-171.0,66.0,0.0,1813.75,1.423981321972627,1.0,238.0,172.0,1813.75,1567,1329
